Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
39899PLN,Firmy,Osobowe,Peugeot,308,2015,86 017 km,1 199 cm3,Benzyna,110 KM,Manualna,Na przednie koła,Kombi,5,5,Biały,Tak,Używane,,T9 (2014-),,01/10/2015,Tak,,Tak,Tak,Tak,,Tak,,,,,,,109 g/km,,,,,,,,,,,,,,
23700PLN,Osoby prywatnej,Osobowe,Kia,Rio,2012,122 000 km,1 248 cm3,Benzyna,85 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Czarny,Tak,Używane,1.2 L,III (2011-),Tak,,Tak,,,,,,Tak,,Tak,,,,,,,,,,,,,,,,,,,
39500PLN,Osoby prywatnej,Osobowe,Renault,Laguna,2014,130 000 km,1 997 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Używane,2.0 Black Edition,III (2007-),Tak,26/06/2014,Tak,,Tak,,,CB004HR,,Polska,,,,,,,,,,,,,,,,,,,,
69900PLN,Firmy,Osobowe,Land Rover,Range Rover Evoque,2013,191 323 km,2 179 cm3,Diesel,150 KM,Manualna,4x4 (dołączany automatycznie),SUV,5,5,Czerwony,,Używane,,,,,Tak,,Tak,,,,Tak,,Tak,Tak,,,,,Tak,,,,,,,,,,,,,
98000PLN,Osoby prywatnej,Osobowe,Infiniti,QX70,2014,108 900 km,2 993 cm3,Diesel,238 KM,Automatyczna,,SUV,5,,Szary,Tak,Używane,ver-3-0d-gt-premium,,,,,,,,,,Tak,Polska,Tak,,,,Tak,,,,,,,,,,,,,,,
44900PLN,Osoby prywatnej,Osobowe,Volkswagen,Tiguan,2012,225 000 km,1 968 cm3,Diesel,140 KM,Manualna,,SUV,5,5,Czarny,,Używane,ver-2-0-tdi-sport-style,I (2007-2016),,,Tak,,,,,,Tak,,Tak,Tak,,,Tak,,,,,,,,,,,,,,,
163000PLN,Osoby prywatnej,Osobowe,Porsche,Macan,2015,62 000 km,2 997 cm3,Benzyna,340 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Czarny,Tak,Używane,S,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55900PLN,Osoby prywatnej,Osobowe,Ford,Mondeo,2015,164 616 km,1 997 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,Kombi,5,5,Inny kolor,Tak,Używane,2.0 TDCi Titanium PowerShift,Mk5 (2014-),,15/09/2015,Tak,,Tak,,Tak,ZST82680,Tak,Polska,,Tak,,,,,Tak,,,,,,,,,,,,,
14350PLN,Osoby prywatnej,Osobowe,Citroën,C4 Grand Picasso,2009,289 309 km,1 598 cm3,Benzyna+LPG,120 KM,Manualna,Na przednie koła,Minivan,5,7,Szary,Tak,Używane,Gr 1.6 VTi Equilibre Navi Pack,I (2006-2013),Tak,02/01/2010,Tak,,Tak,,,WCI,Tak,Polska,,,,,,,,,,,,,,,,,,,,
54900PLN,Firmy,Osobowe,Volkswagen,Tiguan,2013,145 000 km,2 000 cm3,Diesel,140 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,,Używane,,I (2007-2016),Tak,,Tak,,,,,,Tak,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
